qid,self_confidence,perceived_confidence,flipped
0.0,0.9914217237579208,0.0085774767503511,1.0
0.0,0.9914217237579208,7.275264408324009e-07,0.0
1.0,0.9706856794929756,0.0293121699393262,1.0
1.0,0.9706856794929756,0.0,1.0
2.0,1.0,1.3440409951135022e-08,0.0
2.0,1.0,9.736200313009563e-10,0.0
3.0,1.0,2.5436656473769233e-13,0.0
3.0,1.0,0.0,0.0
4.0,0.9999869324773292,1.0129958348192378e-05,0.0
4.0,0.9999869324773292,2.902281658751044e-06,0.0
5.0,0.9240772296696828,0.0758528724743325,1.0
5.0,0.9240772296696828,6.916888293599522e-05,1.0
6.0,0.9999976607241556,2.2603250957489616e-06,1.0
6.0,0.9999976607241556,0.0,0.0
7.0,0.9999723899264568,2.7535687796947383e-05,0.0
7.0,0.9999723899264568,2.4616312182926096e-10,0.0
8.0,1.0,3.0988191387218256e-12,0.0
8.0,1.0,1.361526108089654e-13,0.0
9.0,1.0,2.129785170955785e-12,0.0
9.0,1.0,2.882350793444388e-13,0.0
10.0,0.9984986489630502,0.0015011819509075,1.0
10.0,0.9984986489630502,1.6349195756099198e-07,0.0
11.0,0.9999984951481292,1.2098648396679127e-06,1.0
11.0,0.9999984951481292,1.8553878237411744e-07,0.0
12.0,0.9706857897836031,0.029312169939326244,1.0
12.0,0.9706857897836031,1.936259127295073e-06,0.0
13.0,0.9999998063873693,1.6373771305908126e-07,1.0
13.0,0.9999998063873693,1.3440409951135022e-08,0.0
14.0,0.9999984951481292,1.370956471489639e-06,0.0
14.0,0.9999984951481292,2.3355885840133965e-09,0.0
15.0,1.0,6.34880011604368e-09,0.0
15.0,1.0,4.5990553786523166e-10,0.0
16.0,0.9703289657410695,0.029301395551374315,0.0
16.0,0.9703289657410695,0.0003688502230432583,0.0
17.0,1.0,9.545034922840628e-12,0.0
17.0,1.0,7.433680672352188e-12,0.0
18.0,0.777003939256636,0.2226153690451996,1.0
18.0,0.777003939256636,0.0003792519495552976,1.0
19.0,0.9999416367033446,5.829127258796956e-05,0.0
19.0,0.9999416367033446,1.955452483748492e-08,0.0
20.0,0.9478353540809856,0.04718993918020279,1.0
20.0,0.9478353540809856,0.004973782996714914,1.0
21.0,0.9914217237579207,0.008577476750351117,1.0
21.0,0.9914217237579207,7.275264408324009e-07,0.0
22.0,1.0,9.736200313009565e-10,0.0
22.0,1.0,1.6918979226151304e-10,0.0
23.0,0.7310581862862027,0.26894127703477644,1.0
23.0,0.7310581862862027,3.6870757536129175e-07,1.0
24.0,1.0,2.7894680928689246e-10,0.0
24.0,1.0,2.9400777392844726e-11,0.0
25.0,1.0,3.0988191387218256e-12,0.0
25.0,1.0,1.2917800047859961e-12,0.0
26.0,0.8175741872167174,0.1824254593268885,1.0
26.0,0.8175741872167174,1.516919361935986e-07,0.0
27.0,1.0,4.1937956583795446e-13,0.0
27.0,1.0,1.5428112031918877e-13,0.0
28.0,0.9999962302845802,3.7266389560521204e-06,1.0
28.0,0.9999962302845802,1.2501480974411177e-09,0.0
29.0,0.9992900850599707,0.00070967033651176,1.0
29.0,0.9992900850599707,2.697661168145477e-07,0.0
30.0,0.9999920581810099,7.88926463665814e-06,1.0
30.0,0.9999920581810099,1.5229863549631703e-08,0.0
31.0,1.0,1.1399918530443554e-12,0.0
31.0,1.0,1.006039279283317e-12,0.0
32.0,0.9999784691634502,2.1444937927240387e-05,0.0
32.0,0.9999784691634502,3.850661131834392e-09,0.0
33.0,1.0,2.510999155743982e-08,1.0
33.0,1.0,9.237449661970594e-09,0.0
