n,result
0.0,000000
1.0,200002
2.0,000020
3.0,000020
4.0,020202
5.0,020202
6.0,000220
7.0,220222
8.0,002000
9.0,222002
10.0,002020
11.0,002022
12.0,002200
13.0,002202
14.0,002220
15.0,002222
16.0,220222
17.0,220202
18.0,222020
19.0,020020
20.0,020202
21.0,022202
22.0,222220
23.0,022222
24.0,020020
25.0,222020
26.0,222020
27.0,022020
28.0,022200
29.0,020202
30.0,022220
31.0,022222
32.0,202200
33.0,222002
34.0,202020
35.0,200022
36.0,200202
37.0,202202
38.0,220020
39.0,220222
40.0,202000
41.0,222002
42.0,222220
43.0,202022
44.0,202200
45.0,202202
46.0,222222
47.0,202222
48.0,220220
49.0,220002
50.0,220020
51.0,022022
52.0,200202
53.0,220222
54.0,020220
55.0,222222
56.0,222000
57.0,222022
58.0,222020
59.0,222022
60.0,222222
61.0,222202
62.0,222220
63.0,222222
