n,result
0.0,000000
1.0,000000
2.0,000020
3.0,000020
4.0,000200
5.0,000202
6.0,000202
7.0,000202
8.0,000000
9.0,002002
10.0,002020
11.0,002020
12.0,002200
13.0,000202
14.0,000220
15.0,002202
16.0,020000
17.0,020020
18.0,020020
19.0,020020
20.0,020200
21.0,020202
22.0,020220
23.0,020220
24.0,022000
25.0,022020
26.0,022020
27.0,020020
28.0,000200
29.0,020202
30.0,020220
31.0,020220
32.0,200000
33.0,202002
34.0,000020
35.0,200022
36.0,200202
37.0,200202
38.0,200202
39.0,200202
40.0,202000
41.0,202002
42.0,202020
43.0,202022
44.0,202000
45.0,202002
46.0,202020
47.0,202101
48.0,000000
49.0,220002
50.0,020020
51.0,020020
52.0,000202
53.0,020202
54.0,000202
55.0,020220
56.0,202000
57.0,222002
58.0,222020
59.0,222020
60.0,202000
61.0,222202
62.0,202020
63.0,222222
