Step,Susceptible_mean,Susceptible_std,Infected_mean,Infected_std,Recovered_mean,Recovered_std
0,28,0,2,0,0,0
1,18.83,4.15,9.83,4.31,1.33,0.37
2,18,5.37,9,5.31,3,1.25
3,17.33,6.04,8.67,5.22,4,1.61
4,15.17,6.52,10.17,5.19,4.67,2.43
5,15,7.51,9.33,5.85,5.67,3.08
6,14.5,8.16,10,6.77,5.5,3.39
7,14,8.16,9.67,6.1,6.33,4.35
8,13.5,8.81,9.67,5.68,6.83,4.67
9,13,9.23,9.83,5.91,7.17,5.44
10,12.67,9.52,8.83,6.41,8.5,5.53
11,12.5,9.63,10,6.34,7.5,5.15
12,12.33,9.63,10.17,5.08,7.5,5.62
13,12.33,9.74,9.67,5.82,8,4.84
14,12.17,9.93,9.83,5.45,8,5.15
