Step,Susceptible_mean,Susceptible_std,Infected_mean,Infected_std,Recovered_mean,Recovered_std
0,28.00,0.00,2.00,0.00,0.00,0.00
1,22.67,4.15,5.50,4.31,1.83,0.37
2,20.67,5.37,5.67,5.31,3.67,1.25
3,19.83,6.04,5.67,5.22,4.50,1.61
4,19.17,6.52,5.33,5.19,5.50,2.43
5,17.83,7.51,6.33,5.85,5.83,3.08
6,17.00,8.16,6.83,6.77,6.17,3.39
7,17.00,8.16,5.33,6.10,7.67,4.35
8,16.33,8.81,5.50,5.68,8.17,4.67
9,15.83,9.23,5.67,5.91,8.50,5.44
10,15.33,9.52,6.17,6.41,8.50,5.53
11,15.17,9.63,6.50,6.34,8.33,5.15
12,15.17,9.63,5.17,5.08,9.67,5.62
13,14.83,9.74,6.33,5.82,8.83,4.84
14,14.67,9.93,6.00,5.45,9.33,5.15
