Step,Susceptible_mean,Susceptible_std,Infected_mean,Infected_std,Recovered_mean,Recovered_std
0,28,0,2,0,0,0
1,12.67,8.16,16.67,8.96,0.67,1
2,10.83,8.93,17.83,10.15,1.33,1.34
3,10.67,9.12,17.67,10.35,1.67,1.63
4,10.33,9.53,16.67,10.08,3,1.57
5,10.33,9.67,16.83,10.59,2.83,1.53
6,9.5,9.69,16.83,10.24,3.67,2.14
7,9.17,9.83,17,10.18,3.83,1.26
8,8.83,9.79,16.67,10.24,4.5,1.73
9,8.67,9.88,17.17,10.34,4.17,1.49
10,8.5,9.88,17.33,10.42,4.17,1.89
11,8.5,9.84,16.5,10.41,5,2.99
12,8.33,9.99,17.17,9.86,4.5,3.24
13,8.33,9.97,16.33,10.03,5.33,2.91
14,8.17,9.97,16.83,9.65,5,3.2
