Step,Susceptible_mean,Susceptible_std,Infected_mean,Infected_std,Recovered_mean,Recovered_std
0,28.00,0.00,2.00,0.00,0.00,0.00
1,13.50,8.10,16.00,8.47,0.50,0.76
2,12.67,8.22,14.17,10.32,3.17,2.67
3,12.00,8.16,14.83,10.29,3.17,2.67
4,11.67,8.01,13.00,11.52,5.33,4.38
5,11.50,8.22,13.67,11.38,4.83,3.89
6,11.50,8.22,13.33,11.59,5.17,4.37
7,11.33,8.14,13.17,11.85,5.50,4.43
8,11.00,8.29,13.83,11.75,5.17,4.14
9,10.83,8.17,13.83,11.71,5.33,4.53
10,10.50,8.08,14.00,11.68,5.50,4.65
11,10.50,8.08,14.00,11.33,5.50,4.35
12,10.17,8.01,14.50,11.51,5.33,4.82
13,9.83,8.01,14.33,11.73,5.83,5.40
14,9.83,8.01,14.00,12.08,6.17,5.46
