Step,Susceptible_mean,Susceptible_std,Infected_mean,Infected_std,Recovered_mean,Recovered_std
0,28,0,2,0,0,0
1,21,4.67,7.33,4.67,1.67,0
2,18.83,6.4,7.67,6.5,3.5,1.12
3,17.17,7.79,10,6.47,2.83,1.6
4,16.5,8.16,9.83,6.13,3.67,2.11
5,16.33,8.54,9.5,5.03,4.17,3.54
6,15.83,8.93,10,4.68,4.17,4.38
7,15.67,9.67,9.33,6.5,5,3.44
8,15.67,10.13,9.33,7.61,5,2.69
9,15.67,10.29,8.83,5.84,5.5,4.5
10,15.67,10.39,9,5.5,5.33,4.95
11,15.67,10.39,8.83,4.49,5.5,5.91
12,15.67,10.5,9.17,6.51,5.17,4.5
13,15.67,10.62,9.17,5.69,5.17,4.95
14,15.67,10.9,9.33,4.4,5,6.67
