Step,Susceptible_mean,Susceptible_std,Infected_mean,Infected_std,Recovered_mean,Recovered_std
0,28.00,0.00,2.00,0.00,0.00,0.00
1,25.17,4.67,2.83,4.67,2.00,0.00
2,24.00,6.40,3.50,6.50,2.50,1.12
3,23.00,7.79,3.67,6.47,3.33,1.60
4,22.67,8.16,3.50,6.13,3.83,2.11
5,22.33,8.54,3.00,5.03,4.67,3.54
6,22.00,8.93,2.67,4.68,5.33,4.38
7,21.50,9.67,3.67,6.50,4.83,3.44
8,21.00,10.13,4.67,7.61,4.33,2.69
9,20.67,10.29,3.83,5.84,5.50,4.50
10,20.50,10.39,3.67,5.50,5.83,4.95
11,20.50,10.39,3.17,4.49,6.33,5.91
12,20.33,10.50,4.00,6.51,5.67,4.50
13,20.17,10.62,4.00,5.69,5.83,4.95
14,19.83,10.90,3.00,4.40,7.17,6.67
