x,y
3,0.21476510067114093
4,0.13087248322147652
5,0.09731543624161074
6,0.08389261744966443
7,0.07718120805369127
8,0.0738255033557047
9,0.06711409395973154
11,0.06040268456375839
12,0.05704697986577181
13,0.050335570469798654
15,0.04697986577181208
16,0.0436241610738255
17,0.040268456375838924
21,0.03691275167785235
23,0.030201342281879196
27,0.026845637583892617
32,0.02348993288590604
56,0.020134228187919462
57,0.016778523489932886
63,0.013422818791946308
65,0.010067114093959731
80,0.006711409395973154
100,0.003355704697986577
155,0.0
