Turn,Original_mean,Original_std,Compliant_mean,Compliant_std,Reverse_mean,Reverse_std
1,0.9043374026565875,0.0447531055524127,0.7813878924823513,0.12025761632424585,0.8352855185267687,0.024461451805441986
2,0.8754163295395502,0.04107788947287231,0.6953128723683321,0.15868544574171198,0.7253797817155194,0.05419231969518419
3,0.8517098717726226,0.04521372227411408,0.6223936280236838,0.20324260615503184,0.6614414937602252,0.044796074494602565
4,0.8341664531716534,0.05156817021131456,0.5855061588711148,0.20982657716730355,0.6241224793291215,0.05047357800053153
5,0.8261230081218829,0.05031969830553153,0.5676160346351354,0.20908797768260168,0.5823817183022301,0.0557734961894034
6,0.8094763895869574,0.048911914944966106,0.5274108604122304,0.20869591839275514,0.5532633019960603,0.0729943608082137
7,0.7906459890403039,0.05734587879109346,0.5172365829901253,0.20664052734057137,0.5336554444798627,0.07098058720828536
8,0.7819842872812915,0.062188124770089566,0.5027388083845341,0.20818048994023752,0.5127418240068727,0.06314337680655067
9,0.7793675122704886,0.06228580205836029,0.4874603472734244,0.20275688821244556,0.4941960943420451,0.06688125625557405
10,0.7711655286824315,0.06310555819277781,0.476556376026103,0.2066383905346485,0.48190679170342926,0.06787703440312091
11,0.7645354957351028,0.06694270499414821,0.4597724706808096,0.20864499794968472,0.4624559812729975,0.0642128325098066
12,0.7490133214848035,0.0796323489876856,0.4458652101797612,0.2030855703178711,0.4468899255834005,0.0672625882031848
13,0.738619309495869,0.08175137400085401,0.42493397222752594,0.2035537480236813,0.42305034527783825,0.06074281207304913
14,0.734223474544957,0.08075544767391381,0.4057683107915183,0.1897766334542348,0.4117301210309705,0.05989640297014711
15,0.7226959602092835,0.0887690268979618,0.38923273517578927,0.17905225866997118,0.3931624970491593,0.06519979444933267
